,Year,Month,Departure station,Arrival station,Average travel time (min)
351,2015,6.0,PARIS LYON,MONTPELLIER,206.092105263
352,2015,6.0,QUIMPER,PARIS MONTPARNASSE,280.223004695
353,2015,5.0,PARIS MONTPARNASSE,BREST,270.990566038
354,2015,5.0,PARIS MONTPARNASSE,LE MANS,59.2569767442
355,2015,5.0,PERPIGNAN,PARIS LYON,302.73870967700003
356,2015,5.0,MULHOUSE VILLE,PARIS LYON,167.304560261
357,2015,5.0,GRENOBLE,PARIS LYON,199.066350711
358,2015,1.0,PARIS LYON,NIMES,177.905956113
359,2015,1.0,PARIS EST,REIMS,47.173708920200006
360,2015,1.0,LA ROCHELLE VILLE,PARIS MONTPARNASSE,192.349282297
361,2015,1.0,PARIS MONTPARNASSE,VANNES,200.582386364
362,2015,1.0,NANTES,STRASBOURG,327.038461538
363,2018,2.0,PARIS LYON,BELLEGARDE (AIN),161.74162679399998
364,2018,6.0,PARIS MONTPARNASSE,ANGOULEME,126.683060109
365,2018,6.0,PARIS LYON,GRENOBLE,181.139784946
366,2018,6.0,PARIS EST,FRANCFORT,108.431926407
367,2018,6.0,PARIS LYON,LAUSANNE,179.521311475
368,2018,4.0,PARIS MONTPARNASSE,ST MALO,156.615384615
369,2018,4.0,VANNES,PARIS MONTPARNASSE,155.23699422
370,2018,4.0,NANTES,PARIS VAUGIRARD,142.4
371,2018,5.0,QUIMPER,PARIS MONTPARNASSE,226.765363128
372,2018,5.0,NANTES,STRASBOURG,301.139534884
373,2018,5.0,PARIS NORD,DUNKERQUE,115.173913043
374,2018,5.0,PARIS LYON,GRENOBLE,188.8375
375,2018,5.0,LE CREUSOT MONTCEAU MONTCHANIN,PARIS LYON,81.8873239437
376,2018,1.0,NIMES,PARIS LYON,176.740412979
377,2018,3.0,LA ROCHELLE VILLE,PARIS MONTPARNASSE,165.712962963
378,2018,3.0,TOURS,PARIS MONTPARNASSE,75.3121693122
379,2019,4.0,LE MANS,PARIS MONTPARNASSE,58.5058823529
380,2019,4.0,NANCY,PARIS EST,96.4703832753
381,2019,4.0,PARIS LYON,ZURICH,240.91572104
382,2019,4.0,PARIS MONTPARNASSE,ANGOULEME,127.186379928
383,2019,5.0,PARIS MONTPARNASSE,BREST,221.901098901
384,2019,5.0,BORDEAUX ST JEAN,PARIS MONTPARNASSE,143.31796690299998
385,2019,6.0,PARIS MONTPARNASSE,LE MANS,59.9351230425
386,2019,6.0,VALENCE ALIXAN TGV,PARIS LYON,133.561688312
387,2019,5.0,METZ,PARIS EST,85.74418604649999
388,2019,5.0,PARIS LYON,NIMES,176.798657718
389,2015,6.0,PARIS NORD,LILLE,65.5852459016
390,2015,6.0,PARIS LYON,LAUSANNE,178.38260869599998
391,2015,5.0,STRASBOURG,PARIS EST,141.74115044200002
392,2015,5.0,MARSEILLE ST CHARLES,PARIS LYON,198.291954023
393,2015,5.0,PARIS MONTPARNASSE,QUIMPER,271.780104712
394,2015,5.0,PARIS LYON,ZURICH,141.909356725
395,2015,1.0,PARIS MONTPARNASSE,TOURS,74.6171428571
396,2015,1.0,PARIS LYON,ANNECY,222.423566879
397,2015,1.0,PARIS LYON,ITALIE,259.620689655
398,2015,1.0,PARIS LYON,LAUSANNE,178.401709402
399,2015,1.0,PARIS LYON,ZURICH,141.964285714
400,2018,1.0,PARIS LYON,CHAMBERY CHALLES LES EAUX,186.00738007400005
